,mean_nni,sdnn,sdsd,nni_50,nni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,encode
91,932.4875,20.935167780555293,33.235885449806425,0,5,33.88208544770696,941.95,49.700000000000045,0.03633516314986202,0.02245088302047512,64.37269881950155,66.42311524410495,62.95907660020986,1.3653711457032285,0
92,928.9125,19.31087313998442,28.80607220567164,0,4,28.96335122677821,932.5,47.10000000000002,0.031179848722864868,0.02078868907457314,64.61618507961163,66.42311524410495,63.131313131313135,1.26128589256679,0
93,935.4624999999999,18.23935599583652,27.846408188123515,0,4,27.929835557799386,941.95,48.80000000000007,0.029856713184974695,0.01949768803756059,64.16094661058486,66.15944426066821,62.78120749189076,1.1816802888753026,0
94,938.9625000000001,21.72036157946865,28.03441762242569,0,4,28.17389876159443,946.15,61.700000000000045,0.03000535033251533,0.023132299297861893,63.93044718066483,66.15944426066821,61.94507536650836,1.392735630852793,0
95,933.1375,24.689612477430973,35.161208913302445,1,4,35.196306624417296,933.8499999999999,66.20000000000005,0.03771824262171148,0.026458707829693878,64.33856154516945,66.48936170212767,61.94507536650836,1.5903949428707063,0
96,937.25,23.650490783189152,37.231657585052716,1,4,37.234124133649246,944.8,66.20000000000005,0.03972699294067671,0.025233919213858792,64.05308704976747,66.48936170212767,61.94507536650836,1.5261069149958166,0
97,938.4,24.203895790317972,37.20994490724222,1,4,37.21115424170555,948.3499999999999,66.20000000000005,0.039653830180845645,0.025792727824294516,63.976291815078724,66.48936170212767,61.94507536650836,1.5616908309277218,0
98,933.075,25.81891609985651,37.41354660263789,1,4,37.41376751945735,935.3499999999999,66.20000000000005,0.0400972778388204,0.02767078327021569,64.3466093326203,66.48936170212767,61.94507536650836,1.6652335814820585,0
99,933.5374999999999,25.311202347690145,36.786865446620446,1,4,36.83965254993594,935.3499999999999,66.20000000000005,0.03946242389827505,0.027113214356884588,64.31300649606138,66.48936170212767,61.94507536650836,1.6306667788601654,0
100,928.175,31.34817151195358,35.011671523324104,1,4,36.58110363093416,928.45,87.10000000000002,0.0394118605122247,0.03377398821553434,64.70786027805497,68.06579693703914,61.94507536650836,2.054141075628775,0
101,918.6125000000001,33.35597772513946,33.94187107754815,1,4,36.26513477156815,909.2,89.39999999999998,0.03947816383030728,0.036311260433686085,65.39069159816552,68.24385805277525,61.94507536650836,2.2027592037965658,0
102,910.725,26.62929375169918,28.066240887425955,0,4,28.06973459083645,906.65,73.29999999999995,0.03082130675103511,0.02923966482933836,65.93027390843977,68.24385805277525,62.99212598425197,1.7809560532603577,0
103,904.9875,32.888401668152156,26.287298088931223,0,4,29.25054334049688,906.65,96.0,0.032321488794593164,0.03634127727526862,66.37567112124299,70.05253940455341,62.99212598425197,2.2491081552243357,0
104,892.375,34.106712787116514,25.171696123111886,0,4,29.456820699360723,893.5,107.10000000000002,0.03300946429400277,0.038220157206461984,67.32160623275684,70.97232079489,62.99212598425197,2.3878050633179733,0
105,881.7625,24.613175188446185,24.89353657609353,0,4,25.54737895418181,880.35,65.20000000000005,0.02897308397009604,0.027913610738091246,68.09212713756074,70.97232079489,65.89062156819679,1.7848305792899661,0
106,878.2875,22.262103449584462,25.581338861740285,0,4,25.95215377794848,879.6,65.20000000000005,0.029548586058606642,0.025347170999911146,68.35312275133231,70.97232079489,65.89062156819679,1.618446706378743,0
107,872.5125,18.327063321765444,24.11098487902837,0,3,24.234420621445498,873.4000000000001,60.10000000000002,0.027775442324832592,0.02100492923799423,68.79333369482644,70.97232079489,66.26173384870238,1.344555512585915,0
108,879.9000000000001,30.40136275141063,36.59378223085426,1,4,37.630344898005625,873.4000000000001,95.20000000000005,0.04276661540857554,0.034550929368576684,68.25874292843012,70.97232079489,63.78907080586859,2.141543696703995,0
109,893.925,49.753470804988645,39.182966936657365,2,4,41.05962563325265,873.8,146.0,0.04593184622116246,0.05565732114549727,67.2933201836347,70.97232079489,60.52047609441195,3.3375496000946727,0
110,899.225,53.294940794466726,37.98322400906023,2,4,40.16483892304669,873.8,146.0,0.04466606124501286,0.059267636903407625,66.92283048071445,70.97232079489,60.52047609441195,3.5867059960935093,0
111,912.5375,54.38815358145558,36.687132816366486,2,4,40.35078331687893,910.3,146.0,0.04421821932455262,0.059601006623240776,65.95442504891474,70.97232079489,60.52047609441195,3.6561549777316626,0
112,927.7625,49.76033812184158,36.8489858083237,2,3,39.500632906321904,944.25,127.0,0.04257623357952267,0.05363478058429994,64.83722738131527,69.41230911614993,60.52047609441195,3.3003667634519234,0
113,931.1,45.89388381286304,47.889063981034276,3,4,47.932616393075364,944.25,127.0,0.05147955793478183,0.04928996220906781,64.57913822931852,69.41230911614993,60.52047609441195,3.0214702985654665,0
114,934.9,42.16549029038525,47.50385591223743,3,4,47.95623004365546,944.25,127.0,0.051295571765595745,0.04510160476027944,64.29454803919229,69.41230911614993,60.52047609441195,2.7650766814022054,0
115,942.5250000000001,31.84869362649411,38.70059852935887,2,3,38.76146834901163,944.25,97.10000000000002,0.04112513551259821,0.033790821067339445,63.722612814413125,67.09158000670917,60.52047609441195,2.020238277927861,0
116,935.4875,37.967295607065395,33.77890296789237,1,3,37.08239859710113,936.65,107.10000000000002,0.03963965162239061,0.040585572342832374,64.2302635955918,67.85027705529798,60.52047609441195,2.439836636248423,0
117,928.4124999999999,30.623120933606476,38.283182219041414,2,3,38.328896223532034,930.0999999999999,82.90000000000009,0.04128433882948801,0.03298439102619415,64.68831063064525,67.85027705529798,62.03473945409429,2.0057263234652076,0
118,926.1999999999999,29.637572678708285,37.6510075210072,2,3,37.94145866613839,927.8,82.90000000000009,0.04096464982308183,0.031999106757404756,64.83886579985463,67.85027705529798,62.03473945409429,1.9398231508362116,0
119,920.9000000000001,25.637862625421825,37.495098999463835,2,3,38.08149156742685,923.0,82.90000000000009,0.041352472111441906,0.027840007194507355,65.19756454907886,67.85027705529798,62.03473945409429,1.6870064413234804,0
120,918.9375,21.91854645206724,27.579480689491618,1,3,28.76456152977132,923.0,67.20000000000005,0.03130197813210509,0.023852053542343456,65.3255132366024,67.85027705529798,63.058328954282715,1.4667065691542567,0
121,927.1875,23.671286856201366,27.39737809591663,1,3,28.309589490892606,927.8,76.0,0.030532755770426807,0.025530204900520517,64.74912509221488,67.85027705529798,62.480474851608875,1.5623416124398515,0
122,930.275,22.76223375932788,29.29316978270475,1,4,29.325927095319585,932.5,76.0,0.03152393334800955,0.024468284925777732,64.53152057297602,67.85027705529798,62.480474851608875,1.506414327679535,0
123,932.9625000000001,23.36566085397238,23.634953361666746,1,3,25.27025354613034,934.95,76.0,0.027086033518099965,0.025044587380492117,64.34750011314193,67.85027705529798,62.480474851608875,1.5472438265872053,0
124,939.5999999999999,12.654078958411544,16.941640524856748,0,2,16.945711636196982,936.25,39.69999999999993,0.018035027284160263,0.013467516984260904,63.867068905594955,65.17488594394959,62.480474851608875,0.8024810047795948,0
125,933.7375000000001,22.347191418290446,24.44696049718695,0,3,25.18273217901503,936.25,72.39999999999998,0.026969819868019683,0.023933055508952403,64.29085953184509,67.57517738484064,62.480474851608875,1.4732659427953483,0
126,930.875,24.250640639549534,25.90675587563983,0,3,25.976335384345475,936.25,72.39999999999998,0.027905288448336753,0.026051446906995606,64.49436191509201,67.57517738484064,62.480474851608875,1.595758468859449,0
127,929.925,24.852062288671338,22.644204556574717,0,2,23.302574965011896,936.25,72.39999999999998,0.025058553071497052,0.026724802848263396,64.562178061474,67.57517738484064,62.480474851608875,1.6343008698591281,0
128,922.8,25.9304013521911,22.191890410688302,0,2,24.10062239860206,924.05,72.39999999999998,0.02611684265128095,0.028099698040952647,65.06445932899695,67.57517738484064,62.480474851608875,1.710623910655664,0
129,919.7375,22.020830236067717,27.088373889918145,0,2,27.088558470320994,924.05,59.0,0.02945248885722393,0.02394251646373853,65.26893299242187,67.57517738484064,63.36466363924385,1.4704376805218142,0
130,916.3375,21.40113064436416,28.17905576263102,0,3,28.72455395650208,910.45,59.0,0.0313471335141278,0.023355074570629446,65.50922210545573,67.57517738484064,63.36466363924385,1.4267015923862776,0
131,916.775,22.138250672922254,32.661810690024815,0,4,32.71456643672443,910.45,62.5,0.03568440068361859,0.024147965065498354,65.4800532919644,67.57517738484064,63.131313131313135,1.4719176686640467,0
132,918.3375,24.151482504038068,25.33365109002292,0,3,26.837340724126456,910.45,62.5,0.02922383189636322,0.02629913567075075,65.37476782212066,67.57517738484064,63.131313131313135,1.5982350878262648,0
